idx,#T,-RT ln Z,Z
471,-80,-25.7454,1.35045e+29
472,-80,-33.0789,2.6803100000000003e+37
473,-80,-29.9665,8.06434e+33
474,-80,-11.2147,4889010000000.0
475,-80,-30.0766,1.07452e+34
476,-80,-28.2255,8.64235e+31
477,-80,-38.6661,5.62419e+43
478,-80,-30.525,3.45538e+34
479,-80,-25.2356,3.5777e+28
480,-80,-16.5578,5.43107e+18
481,-80,-26.5127,9.96814e+29
482,-80,-35.7073,2.52472e+40
483,-80,-37.571,3.2430900000000003e+42
484,-80,-32.0149,1.67617e+36
485,-80,-27.8629,3.36065e+31
486,-80,-35.8593,3.75124e+40
487,-80,-28.5356,1.9389e+32
488,-80,-38.4195,2.95807e+43
489,-80,-31.2734,2.42815e+35
490,-80,-39.699,8.2946e+44
491,-80,-25.8275,1.67242e+29
492,-80,-29.3425,1.58682e+33
493,-80,-35.1723,6.26371e+39
494,-80,-36.421,1.62086e+41
495,-80,-42.2052,5.68189e+47
496,-80,-20.0048,4.31563e+22
497,-80,-33.3255,5.09604e+37
498,-80,-42.5832,1.52094e+48
499,-80,-29.6923,3.94764e+33
500,-80,-30.7071,5.55339e+34
501,-80,-21.2602,1.1365e+24
502,-80,-31.8122,9.88423e+35
503,-80,-27.1827,5.71102e+30
504,-80,-26.0772,3.20546e+29
505,-80,-17.4765,5.94788e+19
506,-80,-18.5055,8.68236e+20
507,-80,-38.2796,2.05443e+43
508,-80,-27.8633,3.36394e+31
509,-80,-21.2279,1.04472e+24
510,-80,-28.291,1.02517e+32
511,-80,-37.5257,2.88183e+42
512,-80,-23.0777,1.29432e+26
513,-80,-27.136,5.05791e+30
514,-80,-39.5923,6.28101e+44
515,-80,-30.9205,9.68395e+34
516,-80,-40.6368,9.54643e+45
517,-80,-37.122,1.00662e+42
518,-80,-29.5472,2.70468e+33
519,-80,-30.8746,8.59136e+34
520,-80,-41.6303,1.27049e+47
521,-80,-30.2682,1.76981e+34
522,-80,-34.9979,3.97629e+39
523,-80,-20.968000000000004,5.30771e+23
524,-80,-23.2589,2.07536e+26
525,-80,-30.8991,9.15888e+34
526,-80,-32.7249,1.06572e+37
527,-80,-32.2097,2.7847000000000004e+36
528,-80,-30.2478,1.67827e+34
529,-80,-46.758,8.05077e+52
530,-80,-16.9794,1.62874e+19
531,-80,-21.6452,3.09882e+24
532,-80,-23.256999999999998,2.06484e+26
533,-80,-14.9518,8.27363e+16
534,-80,-32.5316,6.441200000000001e+36
535,-80,-26.0168,2.73914e+29
536,-80,-27.3976,9.99838e+30
537,-80,-38.5921,4.638e+43
538,-80,-17.0862,2.15125e+19
539,-80,-34.1359,4.20878e+38
540,-80,-44.9426,7.108780000000001e+50
541,-80,-35.2604,7.88084e+39
542,-80,-28.6012,2.30017e+32
543,-80,-33.1329,3.0853e+37
544,-80,-29.1097,8.65209e+32
545,-80,-23.0799,1.30171e+26
546,-80,-31.0213,1.25898e+35
547,-80,-24.9256,1.59561e+28
548,-80,-20.3759,1.13497e+23
549,-80,-33.1121,2.92264e+37
550,-80,-29.1076,8.60601e+32
551,-80,-27.5767,1.59438e+31
552,-80,-37.7727,5.4855e+42
553,-80,-33.3695,5.715770000000001e+37
554,-80,-35.6671,2.27378e+40
555,-80,-16.5147,4.8539e+18
556,-80,-33.2816,4.54516e+37
557,-80,-32.6309,8.34168e+36
558,-80,-30.1333,1.24556e+34
559,-80,-38.0282,1.0671700000000001e+43
560,-80,-47.5688,6.65682e+53
561,-80,-27.2306,6.47015e+30
562,-80,-44.2382,1.13438e+50
563,-80,-11.2685,5625170000000.0
564,-80,-46.0703,1.34195e+52
565,-80,-29.7319,4.37606e+33
566,-80,-28.4583,1.58526e+32
567,-80,-22.9341,8.90427e+25
568,-80,-28.2898,1.02196e+32
569,-80,-37.7655,5.3834900000000004e+42
570,-80,-26.9165,2.85489e+30
571,-80,-32.5313,6.43634e+36
572,-80,-27.267,7.11454e+30
573,-80,-28.6845,2.85784e+32
574,-80,-20.4019,1.21453e+23
575,-80,-30.1904,1.44536e+34
576,-80,-21.1873,9.39841e+23
577,-80,-22.3207,1.80085e+25
578,-80,-24.5945,6.73308e+27
579,-80,-25.7547,1.38362e+29
580,-80,-27.3143,8.04716e+30
581,-80,-39.9467,1.5813400000000002e+45
582,-80,-34.0003,2.95655e+38
583,-80,-28.8834,4.79857e+32
584,-80,-28.1955,7.99425e+31
585,-80,-20.9558,5.14236e+23
586,-80,-21.913,6.22533e+24
587,-80,-30.6538,4.83296e+34
588,-80,-32.5325,6.455809999999999e+36
589,-80,-32.7269,1.07147e+37
590,-80,-34.9039,3.11271e+39
591,-80,-32.0866,2.02024e+36
592,-80,-23.5685,4.64877e+26
593,-80,-40.695,1.11095e+46
594,-80,-49.3746,7.35404e+55
595,-80,-30.6501,4.78674e+34
596,-80,-33.6092,1.06709e+38
597,-80,-35.9635,4.921590000000001e+40
598,-80,-25.4204,5.79095e+28
599,-80,-24.098000000000003,1.84714e+27
600,-80,-26.5874,1.21121e+30
601,-80,-28.0546,5.53677e+31
602,-80,-25.2465,3.68112e+28
603,-80,-22.1344,1.10828e+25
604,-80,-32.0482,1.82788e+36
605,-80,-42.1034,4.35848e+47
606,-80,-32.3704,4.2324099999999996e+36
607,-80,-34.1202,4.04008e+38
608,-80,-32.3056,3.57467e+36
609,-80,-40.4849,6.42632e+45
610,-80,-39.8098,1.10686e+45
611,-80,-35.3459,9.84755e+39
612,-80,-37.3743,1.9424200000000003e+42
613,-80,-26.7623,1.91027e+30
614,-80,-25.4537,6.31564e+28
615,-80,-25.9813,2.49682e+29
616,-80,-11.6536,15339600000000.0
617,-80,-39.9564,1.62185e+45
618,-80,-21.8984,5.99368e+24
619,-80,-19.883,3.14279e+22
620,-80,-38.2,1.66985e+43
621,-80,-30.361,2.25413e+34
622,-80,-23.8832,1.05546e+27
623,-80,-17.1317,2.42217e+19
624,-80,-35.2312,7.3035e+39
625,-80,-34.832,2.58148e+39
626,-80,-36.6532,2.96825e+41
627,-80,-38.7448,6.90431e+43
628,-80,-38.503,3.67743e+43
629,-80,-46.979,1.43205e+53
630,-80,-28.0634,5.66629e+31
631,-80,-34.5319,1.1810400000000001e+39
632,-80,-33.6245,1.11064e+38
633,-80,-27.519000000000002,1.37183e+31
634,-80,-26.0975,3.38006e+29
635,-80,-22.7975,6.23729e+25
636,-80,-26.4069,7.56732e+29
637,-80,-35.0659,4.747e+39
638,-80,-20.6144,2.11291e+23
639,-80,-13.2207,909949000000000.0
640,-80,-31.6092,5.82543e+35
641,-80,-31.7597,8.62159e+35
642,-80,-36.3026,1.1906000000000002e+41
643,-80,-44.1199,8.334880000000001e+49
644,-80,-27.936,4.06546e+31
645,-80,-35.3355,9.58369e+39
646,-80,-22.166999999999998,1.20676e+25
647,-80,-40.7527,1.29108e+46
648,-80,-24.3105,3.21299e+27
649,-80,-42.6866,1.99122e+48
650,-80,-25.3815,5.23287e+28
651,-80,-43.8351,3.9690600000000003e+49
652,-80,-35.5797,1.81039e+40
653,-80,-26.2956,5.66316e+29
654,-80,-38.0914,1.2583200000000002e+43
655,-80,-33.9824,2.82177e+38
656,-80,-42.7266,2.20989e+48
657,-80,-25.0797,2.384e+28
658,-80,-36.744,3.75983e+41
659,-80,-26.4679,8.87139e+29
660,-80,-29.2518,1.2528e+33
661,-80,-24.438000000000002,4.47898e+27
662,-80,-26.4093,7.61453e+29
663,-80,-27.2461,6.73689e+30
664,-80,-22.4323,2.40853e+25
665,-80,-27.1482,5.2208e+30
